person_id,name,bat_hand,bowl_type
a24be938,VR Iyer,LHB,RM
eaa76d3c,C Green,RHB,RFM
709b0bac,SS Tiwary,LHB,
abfeb126,M Kartik,LHB,SLA
dcf81436,S Kaul,RHB,RFM
81c36ee9,M Jansen,LHB,LFM
3576e47e,S Badrinath,RHB,
03806cf8,JR Hazlewood,LHB,RF
0994d0ae,V Shankar,RHB,RM
46a9bea1,TU Deshpande,RHB,RFM
acdc62f5,A Nortje,RHB,RF
9418198b,P Simran Singh,RHB,
efc04be7,Noor Ahmad,RHB,LWS
2f9d0389,LH Ferguson,RHB,RF
f9e6e7ef,Shahbaz Ahmed,LHB,SLA
abb83e27,JM Bairstow,RHB,
d2a6c0e6,EJG Morgan,LHB,
7a8bd078,S Gopal,RHB,LB
0a3d54b9,VR Aaron,RHB,RF
c8179c68,SB Jakati,LHB,SLA
48a1d7b7,SO Hetmyer,LHB,
c05edf8e,Harpreet Brar,LHB,SLA
fe763256,Y Venugopal Rao,RHB,OB
7c503806,J Botha,RHB,OB
50c6bc2b,LS Livingstone,RHB,LB
0f12f9df,NLTC Perera,LHB,RFM
c740ea83,RM Patidar,RHB,
f62772e5,P Negi,LHB,SLA
0c2730df,A Kumble,RHB,LB
85aae393,Iqbal Abdulla,LHB,SLA
12b610c2,TM Head,LHB,OB
dd09ff8e,B Lee,RHB,RF
99d63244,KM Jadhav,RHB,OB
5d9a1a73,R Sharma,RHB,LB
6b8eb6e5,S Sreesanth,RHB,RFM
0a509d6b,RK Singh,LHB,
ae78bc32,MS Gony,RHB,RFM
fa463154,AB Agarkar,RHB,RFM
12eddf28,RJ Harris,RHB,RFM
45eda7c8,CA Lynn,RHB,
56ab442f,NM Coulter-Nile,RHB,RFM
7c3b3b78,VG Arora,RHB,RFM
9fc0ef64,PJ Sangwan,RHB,RFM
e2db2409,M Ashwin,RHB,LB
39f01cdb,KP Pietersen,RHB,OB
f24c6701,M Theekshana,RHB,OB
7210d461,Yash Dayal,RHB,LFM
872b03f7,A Badoni,RHB,OB
aad0c365,Nithish Kumar Reddy,RHB,RM
d7c6af50,DL Vettori,LHB,SLA
a97c8ec2,PWH de Silva,RHB,LB
2cffab74,Mukesh Kumar,RHB,RFM
89f64c19,LMP Simmons,RHB,RM
26a85969,R Dhawan,RHB,RM
f233bbb4,ST Jayasuriya,LHB,SLA
9a158001,Azhar Mahmood,RHB,RFM
c03e2850,M Vohra,RHB,
b61a3e1a,LRPL Taylor,RHB,
957532de,S Aravind,LHB,LFM
3a60e0b5,WD Parnell,LHB,LFM
d8699ab7,ML Hayden,LHB,
e1d1b294,HH Gibbs,RHB,
e4a0deae,MJ Santner,LHB,SLA
a45a5e8d,AM Nayar,LHB,RM
9440ef41,Suyash Sharma,RHB,LB
d0513f63,CL White,RHB,LB
a9fd84fb,M Markande,RHB,LB
bcf325d2,Dhruv Jurel,RHB,
5d2eea49,Kartik Tyagi,RHB,RFM
64839cb3,M Pathirana,RHB,RF
df5a6881,DP Conway,LHB,
7c7d63a2,AJ Tye,RHB,RFM
ffe699c0,CJ Jordan,RHB,RFM
1a0c3177,P Awana,RHB,RFM
